iter	Passed	Remaining
431	1637	2153
432	1641	2149
433	1645	2146
434	1650	2143
435	1654	2140
436	1657	2135
437	1661	2131
438	1664	2127
439	1668	2123
440	1671	2119
441	1675	2114
442	1678	2110
443	1681	2106
444	1686	2102
445	1690	2099
446	1693	2095
447	1697	2092
448	1700	2087
449	1703	2082
450	1707	2078
451	1711	2074
452	1714	2070
453	1718	2066
454	1721	2062
455	1725	2059
456	1730	2056
457	1735	2053
458	1739	2050
459	1743	2046
460	1747	2042
461	1751	2039
462	1754	2035
463	1757	2030
464	1761	2026
465	1765	2022
466	1768	2018
467	1772	2015
468	1776	2011
469	1779	2006
470	1784	2003
471	1786	1998
472	1790	1994
473	1793	1990
474	1796	1985
475	1800	1981
476	1803	1977
477	1807	1974
478	1811	1970
479	1814	1966
480	1819	1963
481	1823	1959
482	1827	1956
483	1832	1953
484	1836	1949
485	1839	1945
486	1843	1942
487	1847	1938
488	1851	1934
489	1853	1929
490	1858	1926
491	1862	1923
492	1866	1919
493	1870	1915
494	1873	1911
495	1877	1907
496	1881	1903
497	1885	1900
498	1888	1895
499	1891	1891
500	1895	1887
501	1899	1884
502	1902	1880
503	1906	1876
504	1911	1874
505	1915	1870
506	1919	1866
507	1924	1864
508	1929	1861
509	1933	1857
510	1937	1854
511	1941	1850
512	1945	1846
513	1950	1843
514	1954	1840
515	1957	1836
516	1961	1832
517	1965	1828
518	1969	1824
519	1973	1821
520	1977	1817
521	1980	1813
522	1985	1810
523	1987	1805
524	1991	1802
525	1995	1798
526	1998	1793
527	2001	1789
528	2005	1785
529	2009	1782
530	2014	1779
531	2019	1776
532	2023	1772
533	2027	1769
534	2032	1766
535	2035	1762
536	2040	1758
537	2044	1755
538	2048	1752
539	2051	1747
540	2055	1743
541	2058	1739
542	2061	1734
543	2065	1731
544	2069	1727
545	2073	1724
546	2077	1720
547	2080	1716
548	2083	1711
549	2086	1707
550	2090	1703
551	2094	1699
552	2098	1696
553	2102	1692
554	2105	1688
555	2109	1684
556	2113	1681
557	2116	1676
558	2119	1672
559	2123	1668
560	2126	1663
561	2129	1659
562	2133	1655
563	2136	1651
564	2140	1648
565	2144	1644
566	2147	1640
567	2151	1636
568	2154	1632
569	2157	1627
570	2161	1623
571	2165	1620
572	2169	1616
573	2173	1612
574	2177	1609
575	2180	1605
576	2183	1600
577	2186	1596
578	2189	1592
579	2193	1588
580	2196	1584
581	2201	1580
582	2205	1577
583	2210	1574
584	2214	1570
585	2217	1566
586	2220	1562
587	2223	1558
588	2226	1553
589	2229	1549
590	2233	1545
591	2236	1541
592	2240	1538
593	2244	1534
594	2247	1529
595	2251	1526
596	2255	1522
597	2258	1518
598	2261	1514
599	2265	1510
600	2268	1505
601	2271	1501
602	2275	1497
603	2278	1493
604	2282	1489
605	2286	1486
606	2290	1482
607	2292	1478
608	2296	1474
609	2300	1470
610	2303	1466
611	2307	1463
612	2311	1459
613	2315	1455
614	2319	1451
615	2322	1447
616	2326	1444
617	2329	1440
618	2333	1436
619	2336	1431
620	2339	1427
621	2342	1423
622	2345	1419
623	2349	1415
624	2352	1411
625	2355	1407
626	2359	1403
627	2361	1399
628	2364	1394
629	2369	1391
630	2372	1387
631	2375	1382
632	2378	1378
633	2382	1375
634	2385	1371
635	2388	1367
636	2392	1363
637	2396	1359
638	2400	1355
639	2404	1352
640	2408	1349
641	2412	1345
642	2415	1341
643	2418	1337
644	2422	1333
645	2425	1329
646	2428	1324
647	2431	1320
648	2434	1316
649	2437	1312
650	2439	1308
651	2443	1304
652	2447	1300
653	2451	1296
654	2454	1292
655	2457	1288
656	2461	1285
657	2465	1281
658	2469	1277
659	2474	1274
660	2477	1270
661	2480	1266
662	2485	1263
663	2489	1259
664	2495	1256
665	2498	1252
666	2502	1249
667	2505	1245
668	2511	1242
669	2515	1239
670	2519	1235
671	2523	1231
672	2526	1227
673	2530	1223
674	2534	1220
675	2538	1216
676	2542	1213
677	2546	1209
678	2550	1205
679	2554	1202
680	2558	1198
681	2561	1194
682	2564	1190
683	2567	1186
684	2571	1182
685	2576	1179
686	2579	1175
687	2584	1172
688	2589	1168
689	2594	1165
690	2597	1161
691	2602	1158
692	2605	1154
693	2609	1150
694	2613	1146
695	2616	1142
696	2619	1138
697	2622	1134
698	2626	1130
699	2630	1127
700	2634	1123
701	2637	1119
702	2640	1115
703	2644	1111
704	2647	1107
705	2650	1103
706	2653	1099
707	2657	1095
708	2660	1091
709	2663	1087
710	2667	1084
711	2670	1080
712	2675	1077
713	2679	1073
714	2683	1069
715	2687	1065
716	2691	1062
717	2694	1058
718	2698	1054
719	2701	1050
720	2704	1046
721	2708	1042
722	2711	1038
723	2715	1035
724	2718	1031
725	2721	1027
726	2725	1023
727	2729	1019
728	2732	1015
729	2736	1012
730	2739	1008
731	2744	1004
732	2747	1000
733	2751	997
734	2755	993
735	2759	989
736	2763	986
737	2768	982
738	2771	978
739	2774	974
740	2778	971
741	2782	967
742	2786	963
743	2790	960
744	2793	956
745	2795	951
746	2799	948
747	2802	944
748	2805	940
749	2808	936
750	2811	932
751	2814	928
752	2818	924
753	2822	920
754	2826	917
755	2829	913
756	2832	909
757	2836	905
758	2839	901
759	2843	898
760	2847	894
761	2850	890
762	2854	886
763	2857	882
764	2860	878
765	2864	875
766	2869	871
767	2872	867
768	2876	864
769	2880	860
770	2883	856
771	2886	852
772	2889	848
773	2892	844
774	2895	840
775	2898	836
776	2901	832
777	2903	828
778	2906	824
779	2909	820
780	2912	816
781	2916	812
782	2919	809
783	2922	805
784	2926	801
785	2929	797
786	2933	793
787	2938	790
788	2943	787
789	2947	783
790	2951	779
791	2954	775
792	2957	772
793	2961	768
794	2964	764
795	2968	760
796	2973	757
797	2978	753
798	2981	750
799	2986	746
800	2991	743
801	2995	739
802	2999	735
803	3003	732
804	3007	728
805	3010	724
806	3014	720
807	3017	716
808	3020	713
809	3024	709
810	3029	705
811	3033	702
812	3037	698
813	3042	695
814	3046	691
815	3049	687
816	3052	683
817	3055	679
818	3059	676
819	3064	672
820	3068	669
821	3072	665
822	3075	661
823	3078	657
824	3083	653
825	3086	650
826	3089	646
827	3093	642
828	3097	638
829	3100	635
830	3103	631
831	3108	627
832	3112	624
833	3116	620
834	3119	616
835	3123	612
836	3126	608
837	3130	605
838	3135	601
839	3140	598
840	3144	594
841	3149	591
842	3155	587
843	3160	584
844	3165	580
845	3169	576
846	3173	573
847	3177	569
848	3181	565
849	3184	562
850	3188	558
851	3192	554
852	3196	550
853	3199	547
854	3203	543
855	3208	539
856	3211	535
857	3214	532
858	3217	528
859	3221	524
860	3225	520
861	3229	517
862	3234	513
863	3237	509
864	3240	505
865	3244	501
866	3247	498
867	3252	494
868	3256	490
869	3260	487
870	3264	483
871	3268	479
872	3272	476
873	3275	472
874	3278	468
875	3281	464
876	3284	460
877	3287	456
878	3291	453
879	3296	449
880	3301	445
881	3305	442
882	3310	438
883	3315	435
884	3318	431
885	3321	427
886	3324	423
887	3327	419
888	3331	416
889	3334	412
890	3338	408
891	3343	404
892	3348	401
893	3354	397
894	3359	394
895	3362	390
896	3365	386
897	3368	382
898	3373	378
899	3378	375
900	3382	371
901	3387	368
902	3390	364
903	3395	360
904	3399	356
905	3402	353
906	3407	349
907	3411	345
908	3415	341
909	3417	338
910	3421	334
911	3425	330
912	3430	326
913	3435	323
914	3440	319
915	3444	315
916	3447	312
917	3449	308
918	3453	304
919	3456	300
920	3461	296
921	3466	293
922	3470	289
923	3475	285
924	3479	282
925	3484	278
926	3488	274
927	3491	270
928	3495	267
929	3499	263
930	3504	259
931	3509	256
932	3514	252
933	3519	248
934	3523	244
935	3528	241
936	3533	237
937	3538	233
938	3542	230
939	3547	226
940	3551	222
941	3555	218
942	3558	215
943	3561	211
944	3565	207
945	3568	203
946	3572	199
947	3576	196
948	3579	192
949	3582	188
950	3586	184
951	3590	181
952	3593	177
953	3596	173
954	3600	169
955	3603	165
956	3606	162
957	3610	158
958	3614	154
959	3617	150
960	3621	146
961	3625	143
962	3628	139
963	3632	135
964	3635	131
965	3638	128
966	3641	124
967	3644	120
968	3648	116
969	3651	112
970	3655	109
971	3659	105
972	3663	101
973	3667	97
974	3672	94
975	3676	90
976	3681	86
977	3686	82
978	3691	79
979	3696	75
980	3700	71
981	3706	67
982	3711	64
983	3717	60
984	3722	56
985	3727	52
986	3733	49
987	3737	45
988	3742	41
989	3747	37
990	3751	34
991	3755	30
992	3760	26
993	3765	22
994	3769	18
995	3773	15
996	3776	11
997	3781	7
998	3787	3
999	3791	0
